Unnamed: 0,Id,Uid,Name,Empty Slots,Free Bikes,Last Updated,Renting Bikes,Returning Bikes,Latitude,Longitude,Timestamp
0,7a19c49f486d7c0c02b3685d7b240448,1,10th & Cambie,8,26,1702876024,True,True,49.262487,-123.114397,2023-12-18T05:07:50.365000Z
1,bf8408067b0e0c963f3ff526977bcef3,16,Pender & Burrard,9,16,1702875874,True,True,49.287097,-123.118551,2023-12-18T05:07:50.469000Z
2,fad9ebcf614dd1a72593a34072ff76f8,39,Helmcken & Burrard,10,4,1702875697,True,True,49.279938,-123.127478,2023-12-18T05:07:49.987000Z
3,be14efdc86dedd6a8cd338e78ab4e7c7,60,Bidwell & Burnaby,26,0,0,False,False,49.28526,-123.141809,2023-12-18T05:07:50.342000Z
4,93c88a18c673e2c72a6afa93d6b89f18,74,10th & Main,7,11,1702876035,True,True,49.262141,-123.101961,2023-12-18T05:07:50.457000Z
5,97b25faf822b93fdbf72da1d594c0288,98,Carrall & Hastings,0,17,1702876009,True,True,49.28117,-123.104419,2023-12-18T05:07:50.568000Z
6,826af7eee4ce28b6fa4b4f0211305792,110,5th & Arbutus,11,2,1702875942,True,True,49.267222,-123.153157,2023-12-18T05:07:50.136000Z
7,b9ab6ce009eda6006ade1d7568d9db9c,136,David Lam Park,5,13,1702875739,True,True,49.270905,-123.126006,2023-12-18T05:07:49.985000Z
8,57e928d8c30fab0ebffb3ede850f89d6,153,Arbutus Greenway & Fir,0,16,1702875745,True,True,49.266774,-123.141135,2023-12-18T05:07:50.564000Z
9,b30ed0719dd281867a4d39779c78b58a,180,Columbia & 14th,6,8,1702876022,True,True,49.258902,-123.109596,2023-12-18T05:07:50.326000Z
10,82c794442f54fabf9db6e392ca1fac0f,209,Stanley Park - Information Booth,17,3,1702875722,True,True,49.297933,-123.130758,2023-12-18T05:07:50.239000Z
11,ac3b8198f03754a0afb8b6ed6d220cdd,231,Napier & Commercial,9,5,1702875754,True,True,49.274881,-123.069323,2023-12-18T05:07:50.036000Z
12,e1ff428dadc7c32141b9d89a7b56728a,246,Glen & Broadway,16,2,1702875462,True,True,49.262242,-123.081459,2023-12-18T05:07:50.364000Z
13,0cee06d7d10f7d3162cea03d22b7beed,260,10th & Fraser,13,1,1702876012,True,True,49.26151,-123.089413,2023-12-18T05:07:50.218000Z
14,08c7a90bf297fde8c1f1156db13987d4,282,14th & Fraser,15,1,1702875595,True,True,49.257939,-123.089531,2023-12-18T05:07:50.224000Z
15,b562f08327af465e4531e20226789489,235,Charles & Commercial,17,5,1702876034,True,True,49.273103,-123.069892,2023-12-18T05:07:50.008000Z
16,257715b845828e027ff35dd0f11c971e,124,Richards & Cordova,13,2,1702875808,True,True,49.284554,-123.111031,2023-12-18T05:07:50.045000Z
17,ce5dccf5a0f190bb4567a2fd93e7971e,122,Haro & Denman,0,19,1702875913,True,True,49.290587,-123.13625,2023-12-18T05:07:50.048000Z
18,58a026f0c506caec20697a4f90538450,225,McLean & Pender,5,11,1702875670,True,True,49.280427,-123.074082,2023-12-18T05:07:50.533000Z
19,9763838317308a4766b83696986a157b,415,Dunbar & Broadway,15,11,1702875843,True,True,49.264579,-123.18373,2023-12-18T05:07:50.548000Z
20,41a55a7e2908fbbd65175b794d26bc8d,511,18th & Heather,7,9,1702875879,True,True,49.255034,-123.120226,2023-12-18T05:07:50.282000Z
21,f5e8fa1fc4252bda2f93dd27ed2d603f,313,Nelson & Denman,1,16,1702875889,True,True,49.2890705989865,-123.138407369468,2023-12-18T05:07:50.594000Z
22,57d39a680c9407cda0fb4de6d9c55138,505,28th & Willow,12,8,1702875705,True,True,49.246243,-123.124373,2023-12-18T05:07:50.035000Z
23,0c42f45e4a14957ad4a6d521d0ba8bc3,41,Cardero & Robson,1,25,1702875984,True,True,49.289255,-123.132677,2023-12-18T05:07:50.060000Z
24,b7dd37a7dd668d6d10024b7f18acc438,715,Trimble & 8th,12,8,1702875934,True,True,49.2658,-123.20596,2023-12-18T05:07:50.106000Z
